Turbine,Latitude,Longitude
BE-A5,58.20785,-2.999933
BE-B5,58.21145,-2.981217
BE-B6,58.2218,-2.977733
BE-B7,58.23215,-2.974267
BE-C4,58.205117,-2.965817
BE-C5,58.215033,2.962483
BE-C6,58.2254,-2.959017
BE-C7,58.235733,-2.955533
BE-C8,58.2461,-2.952067
BE-C9,58.256433,-2.948583
BE-D10,58.270383,-2.926367
BE-D11,58.280733,-2.922883
BE-D3,58.1999,-2.950033
BE-D4,58.208283,-2.947233
BE-D5,58.218617,-2.943767
BE-D6,58.228983,-2.940283
BE-D7,58.239317,-2.936817
BE-D8,58.249683,-2.933317
BE-D9,58.260033,-2.929833
BE-E1,58.18165,-2.937617
BE-E10,58.273967,-2.9076
BE-E11,58.284317,-2.904117
BE-E12,58.294667,-2.900617
BE-E2,58.191167,-2.935467
BE-E3,58.2015,-2.932
BE-E4,58.211867,-2.9285
BE-E5,58.222217,-2.925033
BE-E6,58.232567,-2.92155
BE-E7,58.242917,-2.918067
BE-E8,58.253267,-2.914583
BE-E9,58.263617,-2.911083
BE-F10,58.27755,-2.888833
BE-F11,58.2879,-2.885333
BE-F12,58.298233,-2.88185
BE-F13,58.3086,-2.87835
BE-F2,58.19475,-2.91675
BE-F3,58.2051,-2.913267
BE-F4,58.21545,-2.9098
BE-F5,58.2258,-2.9063
BE-F6,58.236133,-2.902817
BE-F7,58.2465,-2.899317
BE-F8,58.256901,-2.89583
BE-F9,58.267183,-2.892333
BE-G10,58.281117,-2.870067
BE-G11,58.291467,-2.866567
BE-G12,58.301817,-2.863067
BE-G13,58.312167,-2.859567
BE-G14,58.322517,-2.856033
BE-G3,58.209414,-2.896075
BE-G4,58.219033,-2.891067
BE-G5,58.229367,-2.887567
BE-G6,58.239733,-2.884067
BE-G7,58.250099,-2.88057
BE-G8,58.260417,-2.877083
BE-G9,58.270783,-2.873583
BE-H10,58.2847,-2.851317
BE-H11,58.29505,-2.847783
BE-H12,58.3054,-2.844283
BE-H13,58.315733,-2.840767
BE-H4,58.2226,-2.872317
BE-H5,58.23295,-2.868833
BE-H6,58.2433,-2.865333
BE-H7,58.25365,-2.861817
BE-H8,58.264,-2.858317
BE-H9,58.27435,-2.854817
BE-J10,58.288267,-2.832533
BE-J11,58.298617,-2.829017
BE-J12,58.308967,-2.8255
BE-J13,58.319317,-2.821983
BE-J5,58.236533,-2.850083
BE-J6,58.246867,-2.846583
BE-J7,58.257217,-2.843083
BE-J8,58.267583,-2.83955
BE-J9,58.277917,-2.83605
BE-K10,58.291833,-2.81375
BE-K11,58.302183,-2.810233
BE-K12,58.312533,-2.806717
BE-K6,58.25045,-2.827817
BE-K7,58.2608,-2.824317
BE-K8,58.27115,-2.820783
BE-K9,58.2815,-2.817267
BE-L10,58.2954,-2.794967
BE-L11,58.30575,-2.79145
BE-L7,58.264367,-2.80555
BE-L8,58.2747,-2.802033
BE-L9,58.285067,-2.7985
BE-M10,58.298967,-2.776183
BE-M9,58.288617,-2.779733
BE-Z05,58.292515,-2.993587
